name,mid_yield,bid_yield,ask_yield,issue_size,rating,ticker,g_spread,liquidity,volatility,maturity,duration,bidask_spread
EJ406717 Corp,1.5797399041752225,0.261,0.208,1250000000.0,AA+,BRCOL,11.65357,90.0,0.3276333808898926,1.5797399041752225,1.5488555855559,0.05300000000000002
ZO037507 Corp,4.421629021218344,0.976,0.943,1000000000.0,AA+,SEK,24.077,96.0,2.0672667026519775,4.421629021218344,4.374242147772427,0.03300000000000003
ZO140062 Corp,2.642026009582478,0.353,0.327,2500000000.0,AAA,IADB,7.524108,98.0,0.6775951385498047,2.642026009582478,2.628262668435383,0.025999999999999968
AZ139190 Corp,5.223819301848049,1.158,1.121,1750000000.0,A+,ONT,21.39013,98.0,2.7900218963623047,5.223819301848049,4.931024280252002,0.03699999999999992
ZR995166 Corp,3.561943874058864,0.556,0.537,2000000000.0,AAA,IFC,6.638996,97.0,1.2374167442321777,3.561943874058864,3.4658941249884254,0.019000000000000017
AW541713 Corp,2.973305954825462,0.407,0.385,4000000000.0,AAA,EIB,7.709121,99.0,0.8690483570098877,2.973305954825462,2.880342633515397,0.021999999999999964
ZO494377 Corp,2.568104038329911,0.333,0.312,4000000000.0,AAA,KFW,7.102935,99.0,0.7585003972053528,2.568104038329911,2.556856739892686,0.02100000000000002
ZR706032 Corp,3.509924709103354,0.552,0.534,1150000000.0,NR,EBRD,7.678452,96.0,1.1117664575576782,3.509924709103354,3.3973547342994923,0.018000000000000016
ZS763064 Corp,1.267624914442163,0.206,0.17,4000000000.0,AAA,IBRD,9.6804,99.0,0.26954519748687744,1.267624914442163,1.2511982398231003,0.035999999999999976
ZO140183 Corp,4.4435318275154,0.888,0.85,3000000000.0,AAA,ASIA,14.86589,99.0,2.307290554046631,4.4435318275154,4.4048817633820585,0.038000000000000034
AP163394 Corp,1.486652977412731,0.309,0.233,1000000000.0,AA-,BNS,16.15286,73.0,0.5362020134925842,1.486652977412731,1.4655710709251943,0.07599999999999998
EI972560 Corp,0.837782340862423,0.17,0.158,3000000000.0,AAA,KFW,10.80556,98.0,0.2586122751235962,0.837782340862423,0.8269337627680109,0.01200000000000001
